title,genres,original_language,release_date,popularity,budget,revenue,runtime,vote_average,vote_count,status,release_year
The Big Parade,Drama|Romance|War,en,1925-11-05,0.785744,245000,22000000,151.0,7.0,21,Released,1925.0
Top Hat,Comedy|Music|Romance,en,1935-09-06,3.898498,609000,3202000,101.0,7.4,59,Released,1935.0
Alexander's Ragtime Band,Drama|Music|Romance,en,1938-05-24,0.483974,2000000,4000000,106.0,4.8,6,Released,1938.0
Gone with the Wind,Drama|Romance|War,en,1939-12-15,48.98255,4000000,400176459,,7.7,970,Released,1939.0
Fantasia,Animation|Family|Music,en,1940-11-13,32.875469,2280000,83320000,124.0,7.2,808,Released,1940.0
Rebecca,Drama|Mystery,en,1940-04-12,18.426825,1288000,6000000,130.0,7.7,336,Released,1940.0
A Guy Named Joe,Drama|Romance|War,en,1944-03-01,0.531444,2627000,5363000,120.0,6.0,8,Released,1944.0
Bathing Beauty,,en,1944-07-01,0.628051,2361000,6892000,101.0,7.0,4,Released,1944.0
Deadline - U.S.A.,Crime|Drama,en,1952-03-14,0.225627,0,0,87.0,6.9,17,Released,1952.0
"The Beast from 20,000 Fathoms",Adventure|Horror|Science Fiction,en,1953-06-13,2.043661,210000,5000000,80.0,6.7,41,Released,1953.0
The Robe,Drama,en,1953-09-16,4.028875,4100000,36000000,135.0,6.4,42,Released,1953.0
Seven Samurai,Action|Drama,ja,1954-04-26,39.756748,2000000,271841,207.0,8.2,878,Released,1954.0
12 Angry Men,Drama,en,1957-03-25,59.259204,350000,1000000,96.0,8.2,2078,Released,1957.0
Cat on a Hot Tin Roof,Drama|Romance,en,1958-02-17,16.553594,3000000,17570324,108.0,7.6,165,Released,1958.0
Some Like It Hot,Comedy|Romance,en,1959-03-18,39.30982,2883848,25000000,122.0,8.0,808,Released,1959.0
Elmer Gantry,Drama,en,1960-06-19,6.734965,3000000,10400000,146.0,7.3,41,Released,1960.0
Pocketful of Miracles,Comedy|Drama,en,1961-12-18,3.370225,2900000,5000000,136.0,7.3,25,Released,1961.0
The Man Who Shot Liberty Valance,Western,en,1962-04-22,11.735287,3200000,8000000,123.0,7.4,265,Released,1962.0
Goldfinger,Adventure|Action|Thriller,en,1964-09-17,47.812466,2500000,124881062,110.0,7.2,987,Released,1964.0
The Fall of the Roman Empire,Drama|History,en,1964-03-24,4.229942,19000000,4750000,188.0,6.0,33,Released,1964.0
A Charlie Brown Christmas,Animation|Family|Comedy|TV Movie,en,1965-12-09,8.701183,0,0,25.0,7.5,153,Released,1965.0
The Party's Over,Drama,en,1965-04-22,0.118324,0,0,94.0,6.1,6,Released,1965.0
You Only Live Twice,Action|Thriller|Adventure,en,1967-06-12,28.675891,9500000,111584787,117.0,6.5,531,Released,1967.0
Barbarella,Science Fiction,en,1968-10-10,14.171759,9000000,2500000,98.0,5.7,146,Released,1968.0
Hang 'em High,Western,en,1968-07-31,11.756943,1800000,6800000,114.0,6.7,192,Released,1968.0
Night of the Living Dead,Horror,en,1968-10-01,25.666029,114000,30000000,96.0,7.5,580,Released,1968.0
Oliver!,Drama|Family|Music,en,1968-09-26,8.305998,10000000,37402877,153.0,7.0,103,Released,1968.0
Once Upon a Time in the West,Western,it,1968-12-21,49.333137,5000000,5321508,175.0,8.1,1128,Released,1968.0
Butch Cassidy and the Sundance Kid,History|Drama|Western|Crime,en,1969-09-23,24.499996,6000000,102308889,110.0,7.4,650,Released,1969.0
Mississippi Mermaid,Crime|Drama|Romance,fr,1969-06-18,3.654018,0,0,123.0,6.7,32,Released,1969.0
Paint Your Wagon,Drama|Action|Comedy|Western|Music,en,1969-10-15,7.902536,20000000,31678778,158.0,6.2,63,Released,1969.0
The Conformist,Drama,it,1970-10-21,8.429295,750000,0,107.0,7.6,127,Released,1970.0
The Molly Maguires,Drama|History,en,1970-01-27,1.396985,11000000,2200000,124.0,5.9,16,Released,1970.0
Frenzy,Crime|Drama|Mystery|Thriller,en,1972-05-25,10.219942,3500000,12600000,116.0,7.1,158,Released,1972.0
Silent Running,Adventure|Drama|Science Fiction,en,1972-03-09,11.095414,1000000,0,89.0,6.3,177,Released,1972.0
Solaris,Drama|Science Fiction|Adventure|Mystery,ru,1972-03-20,24.132271,0,0,167.0,7.7,357,Released,1972.0
Live and Let Die,Adventure|Action|Thriller,en,1973-07-05,30.465138,7000000,161777836,121.0,6.4,533,Released,1973.0
The Front Page,Romance|Drama|Comedy,en,1974-12-01,4.117968,4000000,0,105.0,6.9,68,Released,1974.0
The Godfather: Part II,Drama|Crime,en,1974-12-20,105.792936,13000000,47542841,200.0,8.3,3338,Released,1974.0
The Man with the Golden Gun,Adventure|Action|Thriller,en,1974-12-01,30.214716,7000000,97572000,125.0,6.3,524,Released,1974.0
Young Frankenstein,Comedy|Science Fiction,en,1974-12-15,36.444894,2800000,86273333,106.0,7.7,854,Released,1974.0
The Bad News Bears,Comedy|Family,en,1976-04-07,6.889633,35000000,35323292,102.0,6.9,97,Released,1976.0
Annie Hall,Comedy|Drama|Romance,en,1977-04-19,35.892034,4000000,38251425,93.0,7.8,1010,Released,1977.0
The Kentucky Fried Movie,Comedy,en,1977-08-10,10.861167,600000,0,83.0,6.4,66,Released,1977.0
Caravans,Action|Adventure|Drama|Romance,en,1978-11-02,0.633004,0,0,127.0,5.8,1,Released,1978.0
Jaws 2,Horror|Thriller,en,1978-06-16,19.636044,20000000,187884007,116.0,5.9,406,Released,1978.0
Alien,Horror|Action|Thriller|Science Fiction,en,1979-05-25,94.184658,11000000,104931801,117.0,7.9,4470,Released,1979.0
Heaven's Gate,Action|Drama|History|Western,en,1980-11-19,5.380124,44000000,3484331,219.0,6.4,55,Released,1980.0
Private Benjamin,Comedy,en,1980-10-06,12.18838,0,0,109.0,6.0,102,Released,1980.0
Raging Bull,Drama,en,1980-11-14,35.524457,18000000,23000000,129.0,7.7,938,Released,1980.0
Raise the Titanic,Action|Drama|Thriller,en,1980-01-01,1.630541,0,0,115.0,5.2,21,Released,1980.0
The Elephant Man,Drama|History,en,1980-10-02,30.271066,5000000,26010864,124.0,7.9,719,Released,1980.0
The Empire Strikes Back,Adventure|Action|Science Fiction,en,1980-05-17,78.51783,18000000,538400000,124.0,8.2,5879,Released,1980.0
The Shining,Horror|Thriller,en,1980-05-22,78.699993,19000000,44017374,144.0,8.1,3757,Released,1980.0
Blow Out,Drama|Mystery|Thriller,en,1981-07-24,13.628601,18000000,12000000,108.0,7.3,236,Released,1981.0
Dragonslayer,Fantasy,en,1981-06-26,3.258422,18000000,14110013,108.0,6.5,67,Released,1981.0
Escape from New York,Science Fiction|Action,en,1981-05-22,24.351305,6000000,50244700,99.0,6.9,703,Released,1981.0
Friday the 13th Part 2,Horror|Thriller,en,1981-05-01,16.517777,1250000,21722776,87.0,6.0,315,Released,1981.0
Heartbeeps,Comedy|Romance|Family,en,1981-12-18,0.518056,10000000,2154696,79.0,3.8,6,Released,1981.0
Inchon,Drama|History|War,en,1981-05-04,0.146783,46000000,5200000,140.0,6.5,2,Released,1981.0
